Crop,Name of the Crop,Treatment No.,Treatment Name,Replication,Dry weight (in grams)
20,Pea,2,NB089,2,7.02
21,PiP,2,NB089,2,NA
22,SnM,2,NB089,2,6.58
23,Sor,2,NB089,2,10.26
24,Soy,2,NB089,2,10.5
25,WhC,2,NB089,2,6.8
26,Whe,2,NB089,2,7.52
27,WPV,2,NB089,2,7.38
1,AdB,3,DA274,2,NA
2,Bar,3,DA274,2,9.58
3,BlG,3,DA274,2,10
4,Can,3,DA274,2,10.94
5,Chi,3,DA274,2,8.26
6,Cot,3,DA274,2,10.96
7,Cow,3,DA274,2,13.16
8,FaB,3,DA274,2,7.7
9,FiP,3,DA274,2,10.9
10,FrB,3,DA274,2,10.4
11,Lab,3,DA274,2,12.68
12,Len,3,DA274,2,6.64
13,Luc,3,DA274,2,7.46
14,Lup,3,DA274,2,8.32
15,Mai,3,DA274,2,13.48
16,Mil,3,DA274,2,14.5
17,MuB,3,DA274,2,11
18,NaB,3,DA274,2,7.26
19,Oat,3,DA274,2,9.06
20,Pea,3,DA274,2,7.9
21,PiP,3,DA274,2,NA
22,SnM,3,DA274,2,6.76
23,Sor,3,DA274,2,8.98
24,Soy,3,DA274,2,10.74
25,WhC,3,DA274,2,6.46
26,Whe,3,DA274,2,8.32
27,WPV,3,DA274,2,6.86
1,AdB,4,DAR56672,2,NA
2,Bar,4,DAR56672,2,9.34
3,BlG,4,DAR56672,2,10.34
4,Can,4,DAR56672,2,11.56
5,Chi,4,DAR56672,2,8.72
6,Cot,4,DAR56672,2,10.48
7,Cow,4,DAR56672,2,12.5
8,FaB,4,DAR56672,2,7.58
9,FiP,4,DAR56672,2,10.74
10,FrB,4,DAR56672,2,14.06
11,Lab,4,DAR56672,2,12.48
12,Len,4,DAR56672,2,6.84
13,Luc,4,DAR56672,2,7.18
14,Lup,4,DAR56672,2,7.54
15,Mai,4,DAR56672,2,12.26
16,Mil,4,DAR56672,2,15.6
17,MuB,4,DAR56672,2,9.8
18,NaB,4,DAR56672,2,7.46
19,Oat,4,DAR56672,2,8.34
20,Pea,4,DAR56672,2,7.42
21,PiP,4,DAR56672,2,6.64
22,SnM,4,DAR56672,2,6.56
23,Sor,4,DAR56672,2,10
24,Soy,4,DAR56672,2,11.22
25,WhC,4,DAR56672,2,6.6
26,Whe,4,DAR56672,2,7.74
27,WPV,4,DAR56672,2,6.8
1,AdB,1,Control,3,NA
2,Bar,1,Control,3,9.5
3,BlG,1,Control,3,10.44
4,Can,1,Control,3,12.16
5,Chi,1,Control,3,7.76
6,Cot,1,Control,3,10.84
7,Cow,1,Control,3,12.42
8,FaB,1,Control,3,7.74
9,FiP,1,Control,3,10.5
10,FrB,1,Control,3,13.38
11,Lab,1,Control,3,12.58
12,Len,1,Control,3,6.86
13,Luc,1,Control,3,7
14,Lup,1,Control,3,8.06
15,Mai,1,Control,3,9.52
16,Mil,1,Control,3,14.58
17,MuB,1,Control,3,11.88
18,NaB,1,Control,3,NA
19,Oat,1,Control,3,8.64
20,Pea,1,Control,3,7.38
21,PiP,1,Control,3,NA
22,SnM,1,Control,3,6.68
23,Sor,1,Control,3,9
24,Soy,1,Control,3,11.42
